,min,overall_average,active_average,overall_average_last_year,active_average_last_year,non_zero,max_last_year,max,min_last_year,total_sum_last_year,total_sum_last_year_absolute,non_zero_last_year,total_sum,total_sum_absolute,k_value,var_names
competition_sales_tvs_radeon_adstock_1,0.5,0.6410368618205128,0.7737774376515837,0.8095705639521422,0.8095705639521422,17,0.8959177079907455,0.8959177079907455,0.6739427931324137,9.714846767425707,221249.88275341757,12,21.154216440076922,271570.01368908654,12401.951684122576,competition_sales_tvs_radeon_adstock_1
print_spend_in_cr_brand_hero_passion_adstock_2,0.5031628080731813,0.6002503843467637,0.6002503843467637,0.5273210037713028,0.5273210037713028,33,0.5702041030281773,0.962930841404823,0.5050339984063167,6.327852045255633,2.2766869563162486,12,19.808262683443203,29.613369895595703,1.7308472876250505,print_spend_in_cr_brand_hero_passion_adstock_2
print_spend_in_cr_brand_hero_splendor_adstock_2,0.5000594905161927,0.6289140227095134,0.6289140227095134,0.6088202892543805,0.6088202892543805,33,0.845393477363837,0.9664906943084804,0.5000594905161927,7.305843471052566,14.50680364365952,12,20.75416274941394,51.13767536558189,2.4904240595434843,print_spend_in_cr_brand_hero_splendor_adstock_2
tv_grp_brand_hero_passion_adstock_2,0.5,0.5782927493966034,0.6230314633375196,0.6112838556655434,0.6112838556655434,21,0.9680341161764698,0.9680341161764698,0.5000444410248973,7.335406267986521,1571.3578818847575,12,19.08366073008791,2970.6009974243084,208.18448187205485,tv_grp_brand_hero_passion_adstock_2
tv_grp_brand_hero_splendor_adstock_2,0.5,0.5291023759543698,0.980189203247102,0.5800315338745169,0.9801892032471011,2,0.9877067585866148,0.9877067585866148,0.5,6.960378406494202,371.57757387567904,2,17.460378406494204,371.57757387567904,46.689643927591135,tv_grp_brand_hero_splendor_adstock_2
tv_spend_in_cr_brand_hero_passion_adstock_2,0.5,0.5723408320884604,0.6136784504247236,0.5524843558501922,0.5524843558501922,21,0.7355233277862803,0.9839035146182332,0.5001329107028772,6.629812270202306,8.76254820975099,12,18.887247458919195,44.45322201764345,3.3049829592546986,tv_spend_in_cr_brand_hero_passion_adstock_2
tv_spend_in_cr_brand_hero_splendor_adstock_2,0.5,0.526632446312694,0.9394353641594506,0.5732392273599084,0.9394353641594502,2,0.9949332052525268,0.9949332052525268,0.5,6.8788707283189,7.9605835937500276,2,17.3788707283189,7.9605835937500276,1.0889656158116616,tv_spend_in_cr_brand_hero_splendor_adstock_2
ooh_spends_in_cr_brand_hero_passion_adstock_2,0.5,0.5627883174146847,0.5767412768401703,0.5002007138535729,0.5002007138535729,27,0.5018064229184958,0.9906848196820689,0.5000000004306867,6.002408566242875,0.0008405169873097071,12,18.572014474684597,1.0525999999499014,0.08724217192546939,ooh_spends_in_cr_brand_hero_passion_adstock_2
competition_print_spend_in_cr_bajaj_discover_adstock_2,0.5,0.5621181401465365,0.5854124427014877,0.5000072532933376,0.5000072532933376,24,0.5000652796438403,0.9863216302415891,0.5000000000155639,6.000087039520051,0.00027271201245800375,12,18.549898624835706,9.493193323850369,0.7832993883703947,competition_print_spend_in_cr_bajaj_discover_adstock_2
competition_print_spend_in_cr_bajaj_platina_adstock_2,0.5,0.5407718484655581,0.5448490333121139,0.5784826484569837,0.5784826484569837,30,0.9948002000600119,0.9948002000600119,0.5000000000003046,6.941791781483805,14.323927036105568,12,17.845470999363418,17.837458141501614,1.9656952551402567,competition_print_spend_in_cr_bajaj_platina_adstock_2
competition_print_spend_in_cr_honda_dream_adstock_2,0.5025953232080139,0.6175417994672391,0.6175417994672391,0.5197632866106504,0.5197632866106504,33,0.623805266590779,0.9519109184604749,0.5025953232080139,6.2371594393278045,2.2561095720688593,12,20.37887938241889,45.045766674964,2.351458744587437,competition_print_spend_in_cr_honda_dream_adstock_2
competition_print_spend_in_cr_honda_livo_adstock_2,0.5,0.6273151349517604,0.6312937329190029,0.5293087608213666,0.5293087608213666,32,0.6959282936870803,0.964821600863849,0.5000619863494584,6.3517051298563985,2.9716455115236844,12,20.701399453408094,41.357833959574144,2.03746001863716,competition_print_spend_in_cr_honda_livo_adstock_2
competition_print_spend_in_cr_suzuki_hayate_adstock_2,,,-inf,,-inf,0,,,,0.0,0.0,0,0.0,0.0,0.0,competition_print_spend_in_cr_suzuki_hayate_adstock_2
competition_print_spend_in_cr_tvs_radeon_adstock_2,0.5,0.6162381573699085,0.7557239462137988,0.7765061838650981,0.7765061838650981,15,0.904739959606248,0.904739959606248,0.6242048404959926,9.318074206381176,19.539840943777197,12,20.335859193206982,22.457587002695938,1.1185795731084585,competition_print_spend_in_cr_tvs_radeon_adstock_2
competition_print_spend_in_cr_tvs_radeon_adstock_2,0.5,0.6162381573699085,0.7557239462137988,0.7765061838650981,0.7765061838650981,15,0.904739959606248,0.904739959606248,0.6242048404959926,9.318074206381176,19.539840943777197,12,20.335859193206982,22.457587002695938,1.1185795731084585,competition_print_spend_in_cr_tvs_radeon_adstock_2
competition_print_spend_in_cr_tvs_star_adstock_2,0.5361234480199486,0.7325334970379771,0.7325334970379771,0.738642255638183,0.738642255638183,33,0.9795131112178905,0.9954367793406069,0.5518297706983045,8.863707067658195,5.353646059554663,12,24.173605402253244,14.145724773224206,0.5838954181819543,competition_print_spend_in_cr_tvs_star_adstock_2
competition_print_spend_in_cr_tvs_star_adstock_2,0.5361234480199486,0.7325334970379771,0.7325334970379771,0.738642255638183,0.738642255638183,33,0.9795131112178905,0.9954367793406069,0.5518297706983045,8.863707067658195,5.353646059554663,12,24.173605402253244,14.145724773224206,0.5838954181819543,competition_print_spend_in_cr_tvs_star_adstock_2
competition_print_spend_in_cr_tvs_victor_adstock_2,0.5,0.7905917288729168,0.8093395823485889,0.722840106855808,0.722840106855808,31,0.9753413543420436,0.9990295752944462,0.5120958202270562,8.674081282269697,2.027440907955113,12,26.089527052806258,8.86286370590215,0.3638078892945991,competition_print_spend_in_cr_tvs_victor_adstock_2
competition_print_spend_in_cr_tvs_victor_adstock_2,0.5,0.7905917288729168,0.8093395823485889,0.722840106855808,0.722840106855808,31,0.9753413543420436,0.9990295752944462,0.5120958202270562,8.674081282269697,2.027440907955113,12,26.089527052806258,8.86286370590215,0.3638078892945991,competition_print_spend_in_cr_tvs_victor_adstock_2
competition_print_spend_in_cr_yamaha_saluto_adstock_2,0.5,0.5436389396033072,0.74001416781819,0.6200070839090951,0.7400141678181903,6,0.993342861456028,0.993342861456028,0.5,7.4400850069091415,0.0009552497308593739,6,17.94008500690914,0.0009552497308593739,0.00010009761355873581,competition_print_spend_in_cr_yamaha_saluto_adstock_2
competition_tv_grp_bajaj_discover_adstock_2,0.5,0.5660402054622685,0.5947533382719505,0.5000025919615622,0.5000025919615622,23,0.5000233276554445,0.966150958749354,0.5000000000055618,6.0000311035387455,0.023492414345795964,12,18.67932678025486,2415.4133333319332,188.82428882153465,competition_tv_grp_bajaj_discover_adstock_2
competition_tv_grp_bajaj_platina_adstock_2,0.5,0.6471209077538483,0.6674134467543792,0.6862229194422481,0.6862229194422481,29,0.8715273685001199,0.8773977054397627,0.5041141979513953,8.234675033306978,3509.0870574111555,12,21.354989955876995,7578.66430024488,333.4170773084161,competition_tv_grp_bajaj_platina_adstock_2
competition_tv_grp_tvs_radeon_adstock_2,0.5,0.5737949469864113,0.6873256346578133,0.6712569176693819,0.6712569176693819,13,0.9758128893172728,0.9758128893172728,0.5077878609334322,8.055083012032583,1544.0697825360282,12,18.935233250551573,1806.5097825360283,131.6245052866143,competition_tv_grp_tvs_radeon_adstock_2
competition_tv_grp_tvs_star_adstock_2,0.5000361409042685,0.616238922263128,0.616238922263128,0.5824042684222118,0.5824042684222118,33,0.9025232653772813,0.9581922658892369,0.5000361409042685,6.988851221066542,430.541056162822,12,20.335884434683226,1573.9426754380208,82.8264133826349,competition_tv_grp_tvs_star_adstock_2
competition_tv_grp_tvs_victor_adstock_2,0.5,0.5723273101387645,0.5745875385806009,0.5000010000823658,0.5000010000823658,32,0.5000090007418289,0.9715612797869975,0.500000000002146,6.00001200098839,0.005324524410606128,12,18.886801234579227,1501.0266666663438,110.91845598608249,competition_tv_grp_tvs_victor_adstock_2
competition_tv_spend_in_cr_bajaj_discover_adstock_2,0.5,0.5608383454215722,0.5872897999526906,0.5000014402583808,0.5000014402583808,23,0.5000129623261987,0.9688229215061225,0.5000000000030905,6.000017283100569,0.00016778532494611355,12,18.507665398911882,29.463746435248318,2.4270142421300664,competition_tv_spend_in_cr_bajaj_discover_adstock_2
competition_tv_spend_in_cr_bajaj_platina_adstock_2,0.5,0.621164927577111,0.6378773313808505,0.6955229528925893,0.6955229528925893,29,0.9777415146204355,0.9777415146204355,0.5062032491631122,8.346275434711071,44.59326927743294,12,20.498442610044663,71.03931451931257,3.641382910322709,competition_tv_spend_in_cr_bajaj_platina_adstock_2
competition_tv_spend_in_cr_tvs_radeon_adstock_2,0.5,0.5893200751769154,0.726735575449093,0.7090500787557611,0.7090500787557611,13,0.9594807203273951,0.9594807203273951,0.5408642285843923,8.508600945069134,18.52765697526582,12,19.447562480838208,22.441751975265817,1.4320190052427126,competition_tv_spend_in_cr_tvs_radeon_adstock_2
competition_tv_spend_in_cr_tvs_star_adstock_2,0.5000726441499054,0.6005958304964021,0.6005958304964021,0.5751807133971671,0.5751807133971671,33,0.758545470513849,0.9883112750708716,0.5000726441499054,6.902168560766006,4.66892577621931,12,19.81966240638127,20.331047501157613,1.2062104278452257,competition_tv_spend_in_cr_tvs_star_adstock_2
competition_tv_spend_in_cr_tvs_victor_adstock_2,0.5000000030314299,0.5679528672334857,0.5679528672334857,0.5000046725978894,0.5000046725978894,33,0.5000296663732727,0.9826631024897254,0.5000000030314299,6.000056071174672,0.00039692238002210685,12,18.74244461870503,22.81561095988879,1.7697256302814968,competition_tv_spend_in_cr_tvs_victor_adstock_2
ooh_spends_in_cr_competitor_honda_dream_adstock_2,0.5000002102541862,0.5916787957515146,0.5916787957515146,0.6175395828839109,0.6175395828839109,33,0.6846233544789003,0.9759711598570752,0.5069028790230083,7.41047499460693,0.16480244171701885,12,19.525400259799984,0.44923994159325953,0.02825363331158073,ooh_spends_in_cr_competitor_honda_dream_adstock_2
ooh_spends_in_cr_competitor_honda_livo_adstock_2,0.5000395148515228,0.549530968220742,0.549530968220742,0.5027041549989798,0.5027041549989798,33,0.5169379460075567,0.9946760878684052,0.5000395148515228,6.032449859987757,0.08912114659668574,12,18.134521951284487,7.008880684882974,0.6864663865045323,ooh_spends_in_cr_competitor_honda_livo_adstock_2
ooh_spends_in_cr_competitor_bajaj_platina_adstock_2,0.5,0.5452565209656886,0.6866831489834655,0.6244554326556438,0.6866831489834657,8,0.9851947229552099,0.9851947229552099,0.5,7.493465191867726,0.5373097000122071,8,17.993465191867724,0.5373097000122071,0.053630810336596904,ooh_spends_in_cr_competitor_bajaj_platina_adstock_2
ooh_spends_in_cr_competitor_tvs_radeon_adstock_2,0.5,0.6017090417598963,0.8729331531196196,0.7796998648397148,0.8729331531196196,9,0.9999999999938698,0.9999999999938698,0.5,9.356398378076577,1.9397546813964845,9,19.856398378076577,1.9397546813964845,0.1808755634616523,ooh_spends_in_cr_competitor_tvs_radeon_adstock_2
ooh_spends_in_cr_competitor_tvs_radeon_adstock_2,0.5,0.6017090417598963,0.8729331531196196,0.7796998648397148,0.8729331531196196,9,0.9999999999938698,0.9999999999938698,0.5,9.356398378076577,1.9397546813964845,9,19.856398378076577,1.9397546813964845,0.1808755634616523,ooh_spends_in_cr_competitor_tvs_radeon_adstock_2
ooh_spends_in_cr_competitor_tvs_star_adstock_2,0.5062225023668664,0.8728920754535983,0.8728920754535983,0.8791744885988079,0.8791744885988079,33,0.9999999995801951,0.999999999998747,0.5994093565691332,10.550093863185694,0.6975320519622984,12,28.805438489968743,2.2983242694492465,0.10872488654666478,ooh_spends_in_cr_competitor_tvs_star_adstock_2
ooh_spends_in_cr_competitor_tvs_star_adstock_2,0.5062225023668664,0.8728920754535983,0.8728920754535983,0.8791744885988079,0.8791744885988079,33,0.9999999995801951,0.999999999998747,0.5994093565691332,10.550093863185694,0.6975320519622984,12,28.805438489968743,2.2983242694492465,0.10872488654666478,ooh_spends_in_cr_competitor_tvs_star_adstock_2
ooh_spends_in_cr_competitor_tvs_victor_adstock_2,0.5001324389088965,0.6837228656302357,0.6837228656302357,0.5913674721056758,0.5913674721056758,33,0.9928601128639901,0.9999997178172711,0.5001324389088965,7.096409665268109,0.5281132504236056,12,22.562854565797778,4.1572882579073305,0.25786688929383195,ooh_spends_in_cr_competitor_tvs_victor_adstock_2
ooh_spends_in_cr_competitor_tvs_victor_adstock_2,0.5001324389088965,0.6837228656302357,0.6837228656302357,0.5913674721056758,0.5913674721056758,33,0.9928601128639901,0.9999997178172711,0.5001324389088965,7.096409665268109,0.5281132504236056,12,22.562854565797778,4.1572882579073305,0.25786688929383195,ooh_spends_in_cr_competitor_tvs_victor_adstock_2
competition_sales_tvs_victor_adstock_2,0.5539270665084759,0.6991332503535793,0.6991332503535793,0.6148911004691627,0.6148911004691627,33,0.6528901665065745,0.86315963793261,0.5539270665084759,7.378693205629952,67133.10156983686,12,23.071397261668118,346701.51380827505,11911.57642424397,competition_sales_tvs_victor_adstock_2
competition_sales_tvs_star_adstock_2,0.561756162297544,0.7122116859961695,0.7122116859961695,0.6426710629271117,0.6426710629271117,33,0.6832299240496661,0.8264625680677065,0.561756162297544,7.712052755125341,267446.21284318843,12,23.502985637873593,1158906.6911590386,37809.96048222945,competition_sales_tvs_star_adstock_2
competition_sales_tvs_radeon_adstock_2,0.5,0.6408453175858393,0.7734056164901586,0.8129424150171157,0.8129424150171157,17,0.8922539345298661,0.8922539345298661,0.7030650125560705,9.755308980205388,275844.51499810745,12,21.147895480332696,334555.00327935745,15295.75092546586,competition_sales_tvs_radeon_adstock_2
print_spend_in_cr_brand_hero_passion_adstock_3,0.5080582385641447,0.6176780888474208,0.6176780888474208,0.5343960658039234,0.5343960658039234,33,0.567819538299319,0.9524040543269204,0.5080582385641447,6.412752789647081,3.1607502820359223,12,20.383376931964886,36.757770513718164,1.9083068689764882,print_spend_in_cr_brand_hero_passion_adstock_3
